disbiome_disease	meddra_id	mondo_id	mondo_label	mesh_ids	match_method	confidence	status	meddra_corroborates	ambiguous	n_experiments
Uveitits	10046851	MONDO:0020283	uveitis	D014605	meddra_xref	0.8	confirmed	yes		53
Infantile eczema	10014198	MONDO:0004980	atopic eczema	D003876	token_subset_broader	0.75	review			51
Primary sclerosing cholangitis-IBD	10008609	MONDO:0013433	primary sclerosing cholangitis		token_subset_broader	0.75	review			51
Ankylosing spondylitis	10002556	MONDO:0005306	ankylosing spondylitis	D013167	mondo_label	1.0	confirmed			50
Hepatitis B	10008910	MONDO:0005344	hepatitis B virus infection	D006509	mondo_exact_synonym	0.95	confirmed			50
Gestational diabetes	10018209	MONDO:0005406	gestational diabetes	D016640	mondo_label	1.0	confirmed			49
Hypertension	10020772	MONDO:0001134	essential hypertension	D000075222	token_subset_narrower	0.75	review			49
Alcoholic hepatitis	10019717	MONDO:0001505	alcoholic hepatitis	D006519	mondo_label	1.0	confirmed			49
Endometriosis	10014778	MONDO:0005133	endometriosis	D004715	mondo_label	1.0	confirmed			49
Lung cancer	10023774	MONDO:0008903	lung cancer		mondo_label	1.0	confirmed			48
Major depressive disorder	10012378	MONDO:0002009	major depressive disorder	D003865	mondo_label	1.0	confirmed			45
Primary biliary cholangitis	10008604	MONDO:0005388	primary biliary cholangitis	D008105	mondo_label	1.0	confirmed			45
Breast cancer	10006187	MONDO:0007254	breast cancer		mondo_label	1.0	confirmed			45
Helicobacter pylori infection	10054263	MONDO:0010853	Helicobacter pylori infection, susceptibility to		token_subset_narrower	0.75	review			44
Halitosis	10019058				UNMAPPED	0.0	unmapped			42
Thyroid carcinoma	10066474	MONDO:0015075	thyroid gland carcinoma		mondo_exact_synonym	0.95	confirmed			42
Bladder cancer	10005003	MONDO:0004986	urinary bladder carcinoma		mondo_related_synonym	0.85	review		yes	42
Kidney stone	10023436	MONDO:0008171	nephrolithiasis	D053040	mondo_exact_synonym	0.95	confirmed			41
Chlamydia	10061041				UNMAPPED	0.0	unmapped			41
Oral potentially malignant disorder	10030961	MONDO:0006858	mouth disorder	D009059	token_subset_broader	0.75	review			41
Obstructive sleep apnea-hypopnea syndrome	10040979	MONDO:0007147	obstructive sleep apnea syndrome	D020181	token_subset_broader	0.75	review			41
Chronic Rhinosinusitis	10071399	MONDO:0006031	chronic rhinosinusitis		mondo_label	1.0	confirmed			39
Laryngeal carcinoma	10023856	MONDO:0002358	laryngeal carcinoma		mondo_label	1.0	confirmed			38
Colon adenomas	10048832	MONDO:0000527	colon adenoma		fuzzy_suggestion	0.6	review			38
Pervasive developmental disorder NOS	10034739	MONDO:0000594	pervasive developmental disorder	D002659	token_subset_broader	0.75	review			38
Preeclamsia	10036485	MONDO:0005081	preeclampsia	D011225	meddra_xref	0.8	confirmed	yes		37
Sicca syndrome	10040633	MONDO:0010030	Sjogren syndrome	D012859	mondo_exact_synonym	0.95	confirmed			37
Stevens-Johnson syndrome	10042033	MONDO:0018229	Stevens-Johnson syndrome	D013262	mondo_label	1.0	confirmed	yes		36
Oral lichen planus	10030983	MONDO:0043923	lichen planus, oral	D017676	mondo_exact_synonym	0.95	confirmed			35
Otitis Media	10033078	MONDO:0005441	otitis media	D010033	mondo_label	1.0	confirmed			34
Autoimmune polyendocrine syndrome type 1		MONDO:0009411	autoimmune polyendocrine syndrome type 1		mondo_label	1.0	confirmed			34
Generalized anxiety disorder	10002855	MONDO:0001942	generalized anxiety disorder		mondo_label	1.0	confirmed			34
Kidney stone with hypertension	10020772	MONDO:0008171	nephrolithiasis	D053040	token_subset_broader	0.75	review			34
Pouchitis	10036463	MONDO:0005312	pouchitis	D019449	mondo_label	1.0	confirmed			33
Dandruff	10011859				UNMAPPED	0.0	unmapped			33
Urogenital Schistosomiasis	10039603	MONDO:0015254	schistosomiasis	D012552	meddra_xref	0.8	confirmed	yes		33
Sarcopenia	10063024				UNMAPPED	0.0	unmapped			33
Interstitial cystitis	10011796	MONDO:0018301	interstitial cystitis	D018856	mondo_label	1.0	confirmed	yes		32
Non alcoholic steatohepatitis	10053219	MONDO:0007027	metabolic dysfunction-associated steatohepatitis		mondo_exact_synonym	0.95	confirmed	yes		32
Hepatic encephalopathy	10019660	MONDO:0001711	hepatic encephalopathy	D006501	mondo_label	1.0	confirmed			32
Neuromyelitis optica	10077875	MONDO:0019100	neuromyelitis optica	D009471	mondo_label	1.0	confirmed			32
Keratitis	10023332	MONDO:0003085	keratitis	D007634	mondo_label	1.0	confirmed			32
Tongue cancer	10055109	MONDO:0004631	tongue cancer	D014062	mondo_label	1.0	confirmed			32
Pancreatitis	10033645	MONDO:0004982	pancreatitis	D010195	mondo_label	1.0	confirmed			31
Chronic alcoholic pancreatitis	10033649	MONDO:0003232	alcoholic pancreatitis	D019512	token_subset_broader	0.75	review			31
Myasthenia gravis	10028417	MONDO:0009688	myasthenia gravis	D009157	mondo_label	1.0	confirmed	yes		31
Atrial fibrillation	10003658	MONDO:0004981	atrial fibrillation	D001281	mondo_label	1.0	confirmed			31
Covid-19		MONDO:0100096	COVID-19	C000657245|D000086382	mondo_label	1.0	confirmed			30
Pregnancy	10036556	MONDO:0043759	abdominal ectopic pregnancy	D011269	token_subset_narrower	0.75	review			29
Fibromyalgia	10048439	MONDO:0005546	fibromyalgia	D005356	mondo_label	1.0	confirmed			29
Preterm birth	10036600				UNMAPPED	0.0	unmapped			28
